Type,Video,Prediction,Confidence,Correctness
Normal,Normal_Videos_345_x264.mp4,0,0.40,✅
Normal,Normal_Videos_352_x264.mp4,0,0.22,✅
Normal,Normal_Videos_360_x264.mp4,0,0.36,✅
Normal,Normal_Videos_880_x264.mp4,0,0.37,✅
Normal,Normal_Videos_027_x264.mp4,0,0.67,✅
Normal,Normal_Videos_246_x264.mp4,0,0.83,✅
Normal,Normal_Videos_874_x264.mp4,0,0.09,✅
Normal,Normal_Videos_894_x264.mp4,0,0.15,✅
Normal,Normal_Videos_943_x264.mp4,0,0.66,✅
Normal,Normal_Videos_745_x264.mp4,0,0.55,✅
Normal,Normal_Videos_041_x264.mp4,0,0.82,✅
Normal,Normal_Videos_923_x264.mp4,0,0.66,✅
Normal,Normal_Videos_063_x264.mp4,0,0.44,✅
Normal,Normal_Videos_879_x264.mp4,0,0.59,✅
Normal,Normal_Videos_938_x264.mp4,0,0.62,✅
Normal,Normal_Videos_621_x264.mp4,0,0.23,✅
Normal,Normal_Videos_871_x264.mp4,1,0.92,❌
Normal,Normal_Videos_050_x264.mp4,0,0.22,✅
Normal,Normal_Videos_696_x264.mp4,0,0.20,✅
Normal,Normal_Videos_878_x264.mp4,0,0.25,✅
Normal,Normal_Videos_913_x264.mp4,0,0.20,✅
Normal,Normal_Videos_317_x264.mp4,0,0.15,✅
Normal,Normal_Videos_886_x264.mp4,0,0.72,✅
Normal,Normal_Videos_915_x264.mp4,0,0.12,✅
Normal,Normal_Videos_034_x264.mp4,0,0.46,✅
Normal,Normal_Videos_014_x264.mp4,0,0.22,✅
Normal,Normal_Videos_940_x264.mp4,0,0.65,✅
Normal,Normal_Videos_907_x264.mp4,0,0.29,✅
Normal,Normal_Videos_439_x264.mp4,0,0.15,✅
Normal,Normal_Videos_930_x264.mp4,0,0.44,✅
Normal,Normal_Videos_890_x264.mp4,0,0.47,✅
Normal,Normal_Videos_875_x264.mp4,0,0.28,✅
Normal,Normal_Videos_217_x264.mp4,0,0.60,✅
Normal,Normal_Videos_867_x264.mp4,0,0.32,✅
Normal,Normal_Videos_251_x264.mp4,0,0.39,✅
Normal,Normal_Videos_929_x264.mp4,1,0.91,❌
Normal,Normal_Videos_019_x264.mp4,0,0.40,✅
Normal,Normal_Videos_310_x264.mp4,0,0.47,✅
Normal,Normal_Videos_873_x264.mp4,0,0.22,✅
Normal,Normal_Videos_059_x264.mp4,0,0.15,✅
Normal,Normal_Videos_203_x264.mp4,0,0.37,✅
Normal,Normal_Videos_783_x264.mp4,0,0.59,✅
Normal,Normal_Videos_781_x264.mp4,0,0.30,✅
Normal,Normal_Videos_070_x264.mp4,0,0.71,✅
Normal,Normal_Videos_606_x264.mp4,0,0.11,✅
Normal,Normal_Videos_877_x264.mp4,0,0.65,✅
Normal,Normal_Videos_831_x264.mp4,0,0.20,✅
Normal,Normal_Videos_452_x264.mp4,0,0.40,✅
Normal,Normal_Videos_868_x264.mp4,0,0.59,✅
Normal,Normal_Videos_912_x264.mp4,0,0.21,✅
Assault,Assault008_x264.mp4,0,0.48,❌
Assault,Assault022_x264.mp4,0,0.77,❌
Assault,Assault019_x264.mp4,0,0.53,❌
Assault,Assault025_x264.mp4,0,0.75,❌
Assault,Assault052_x264.mp4,0,0.41,❌
Assault,Assault012_x264.mp4,0,0.81,❌
Assault,Assault023_x264.mp4,0,0.45,❌
Assault,Assault047_x264.mp4,0,0.39,❌
Assault,Assault040_x264.mp4,0,0.24,❌
Assault,Assault014_x264.mp4,0,0.71,❌
Assault,Assault030_x264.mp4,0,0.47,❌
Assault,Assault044_x264.mp4,0,0.64,❌
Assault,Assault033_x264.mp4,0,0.44,❌
Assault,Assault039_x264.mp4,0,0.29,❌
Assault,Assault009_x264.mp4,0,0.75,❌
Assault,Assault013_x264.mp4,0,0.08,❌
Assault,Assault018_x264.mp4,0,0.40,❌
Assault,Assault035_x264.mp4,0,0.59,❌
Assault,Assault038_x264.mp4,0,0.55,❌
Assault,Assault011_x264.mp4,0,0.49,❌
Assault,Assault046_x264.mp4,0,0.29,❌
Assault,Assault017_x264.mp4,0,0.82,❌
Assault,Assault032_x264.mp4,0,0.80,❌
Assault,Assault026_x264.mp4,0,0.11,❌
Assault,Assault037_x264.mp4,0,0.43,❌
Assault,Assault027_x264.mp4,0,0.23,❌
Assault,Assault048_x264.mp4,0,0.53,❌
Assault,Assault050_x264.mp4,0,0.22,❌
Assault,Assault045_x264.mp4,0,0.34,❌
Assault,Assault051_x264.mp4,0,0.41,❌
Assault,Assault034_x264.mp4,0,0.18,❌
Assault,Assault028_x264.mp4,0,0.53,❌
Assault,Assault036_x264.mp4,0,0.84,❌
Assault,Assault029_x264.mp4,0,0.15,❌
Assault,Assault007_x264.mp4,1,0.89,✅
Assault,Assault049_x264.mp4,0,0.32,❌
Assault,Assault024_x264.mp4,0,0.54,❌
Assault,Assault003_x264.mp4,0,0.19,❌
Assault,Assault042_x264.mp4,0,0.48,❌
Assault,Assault001_x264.mp4,0,0.41,❌
Assault,Assault041_x264.mp4,1,0.88,✅
Assault,Assault004_x264.mp4,0,0.32,❌
Assault,Assault020_x264.mp4,0,0.70,❌
Assault,Assault015_x264.mp4,0,0.49,❌
Assault,Assault010_x264.mp4,0,0.21,❌
Assault,Assault016_x264.mp4,0,0.64,❌
Assault,Assault002_x264.mp4,0,0.46,❌
Assault,Assault005_x264.mp4,0,0.37,❌
Assault,Assault006_x264.mp4,0,0.58,❌
Assault,Assault031_x264.mp4,0,0.53,❌
